code,url,product_name,brands_tags,stores,owner,labels_tags,nutriscore_score,nutriscore_grade,quantity,fat_100g,saturated_fat_100g,sugars_100g,proteins_100g,carbohydrates_100g,energy_100g,salt_100g,sodium_100g,computed_energy_100g,organic,level_salt,level_saturated_fat,level_sugars,level_fat,vegan,vegetarian,palm_oil
99482442897,http://world-en.openfoodfacts.org/product/0099482442897/365-everyday-value-chicken-bbq-sauce,"365 everyday value, chicken & bbq sauce","365-everyday-value,whole-foods-market-inc",,,,2,b,,4.52,1.69,7.91,11.3,31.64,900,0.905,0.362,897.22,,m,m,m,m,f,f,f
99482442873,http://world-en.openfoodfacts.org/product/0099482442873/365-everyday-value-organic-cheese-pizza,"365 everyday value, organic cheese pizza","365-everyday-value,whole-foods-market-inc",,,en:organic,2,b,,6.25,2.84,2.27,11.93,25.0,858,0.91,0.364,859.06,t,m,m,l,m,f,,f
99482442880,http://world-en.openfoodfacts.org/product/0099482442880/365-everyday-value-pizza-spinach-feta,"365 everyday value, pizza, spinach & feta","365-everyday-value,whole-foods-market-inc",,,,1,b,,4.71,2.06,1.18,9.41,25.29,787,0.81,0.324,764.17,,m,m,l,m,f,,f
723055863979,http://world-en.openfoodfacts.org/product/0723055863979/3-meat-supreme-pizza-with-pepperoni-chicken-whole-foods-market,"3 Meat Supreme Pizza With Pepperoni, Chicken","whole-foods-market,harry-s-farmers-market-ltd",,,,2,b,,4.71,2.35,1.18,7.06,11.47,481,0.71628,0.286512,489.28,,m,m,l,m,f,f,f
90090656553,http://world-en.openfoodfacts.org/product/0090090656553/albert-s-pizza-roasted-vegan-dextro-corporation,"Albert's Pizza, Roasted Vegan",dextro-corporation,,,"en:vegetarian,en:vegan",-1,a,,3.85,0.0,1.92,4.49,25.64,644,0.4325,0.173,654.66,f,m,l,l,m,t,t,
36800378483,http://world-en.openfoodfacts.org/product/0036800378483/all-natural-multigrain-ultra-thin-crust-roasted-vegetable-pizza-with-mozzarella-with-cheddar-parmesan-and-romano-cheese-red-yellow-pepper-red-onion-and-broccoli-roasted-vegetable-full-circle,"All natural, multigrain ultra thin crust roasted vegetable pizza with mozzarella, with cheddar, parmesan and romano cheese, red & yellow pepper, red onion and broccoli, roasted vegetable",full-circle,,,,1,b,,6.57,3.65,2.92,8.76,18.98,674,0.82,0.328,714.67,,m,m,l,m,f,,
20662005434,http://world-en.openfoodfacts.org/product/0020662005434/all-natural-pizza-thin-crispy-multi-grain-with-flaxseed-newman-s-own,"All Natural Pizza, Thin & Crispy Multi-Grain With Flaxseed","newman-s-own,newman-s-own-inc",,,,2,b,,7.81,3.52,1.56,8.59,25.78,883,1.1125,0.445,873.26,,m,m,l,m,f,,
731789130274,http://world-en.openfoodfacts.org/product/0731789130274/american-flatbread-bruschetta-inspired-with-homemade,American flatbread bruschetta inspired with homemade,,,,,1,b,,5.7142857142857,0.71428571428571,1.4285714285714,4.2857142857143,25.714285714286,717,0.80357142857143,0.321428571428572,721.428571428576,,m,l,l,m,,,f
42272001057,http://world-en.openfoodfacts.org/product/0042272001057/amy-s-soy-cheeze-pizza,"Amy's, soy cheeze pizza","amy-s,amy-s-kitchen-inc",,,,1,b,,8.94,0.81,2.44,9.76,30.08,987,1.2,0.48,1008.06,,m,l,l,m,f,,
42272013289,http://world-en.openfoodfacts.org/product/0042272013289/amy-s-spinach-pizza-with-veggie-crust-amy-s-kitchen,Amy's Spinach Pizza with Veggie Crust,amy-s-kitchen,,,"en:organic,en:vegetarian,en:no-gluten",2,b,339 grams,8.85,3.54,4.42,7.08,26.5,888,1.04,0.416,898.31,t,m,m,l,m,f,t,
