code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
0072180635716	http://world-en.openfoodfacts.org/product/0072180635716/1-2-cheese-pizza-1-2-pepperoni-pizza-tony-s	1/2 Cheese Pizza & 1/2 Pepperoni Pizza	tony-s	NA	NA	NA	11	d	NA	8.89	3.7	6.67	8.89	31.85	1021	1.1475	0.459	1021.51	NA	m	m	m	m	f	f	t
0041190469529	http://world-en.openfoodfacts.org/product/0041190469529/2-cheese-pizza-natural-cheese-shoprite	2 CHEESE PIZZA NATURAL CHEESE	shoprite	NA	NA	en:no-artificial-flavors	22	e	8 oz	25	16.071428571429	0	21.428571428571	3.5714285714286	1345	1.9642857142857	0.78571428571428	1349.9999999999932	f	h	h	l	h			
0099482442897	http://world-en.openfoodfacts.org/product/0099482442897/365-everyday-value-chicken-bbq-sauce	365 everyday value, chicken & bbq sauce	365-everyday-value,whole-foods-market-inc	NA	NA	NA	2	b	NA	4.52	1.69	7.91	11.3	31.64	900	0.905	0.362	897.22	NA	m	m	m	m	f	f	f
0099482412753	http://world-en.openfoodfacts.org/product/0099482412753/365-everyday-value-mini-pizzas-three-cheese	365 everyday value, mini pizzas, three cheese	365-everyday-value,whole-foods-market-inc	NA	NA	NA	10	c	NA	10.53	3.38	3.01	11.28	28.57	1071	1.2975	0.519	1067.06	NA	m	m	l	m	f		f
0099482442873	http://world-en.openfoodfacts.org/product/0099482442873/365-everyday-value-organic-cheese-pizza	365 everyday value, organic cheese pizza	365-everyday-value,whole-foods-market-inc	NA	NA	en:organic	2	b	NA	6.25	2.84	2.27	11.93	25	858	0.91	0.364	859.06	t	m	m	l	m	f		f
0099482442880	http://world-en.openfoodfacts.org/product/0099482442880/365-everyday-value-pizza-spinach-feta	365 everyday value, pizza, spinach & feta	365-everyday-value,whole-foods-market-inc	NA	NA	NA	1	b	NA	4.71	2.06	1.18	9.41	25.29	787	0.81	0.324	764.17	NA	m	m	l	m	f		f
0072036019905	http://world-en.openfoodfacts.org/product/0072036019905/3-cheese-mini-pizza-bagels-harris-teeter	3 Cheese Mini Pizza Bagels	harris-teeter	NA	NA	NA	3	c	NA	4.55	3.41	3.41	11.36	29.55	858	1.1925	0.477	863.82	NA	m	m	l	m	f		
0070038643845	http://world-en.openfoodfacts.org/product/0070038643845/3-cheese-mozzarella	3 cheese mozzarella	NA	NA	NA	NA	4	c	NA	10.204081632653	4.0816326530612	2.0408163265306	9.5238095238095	29.931972789116	1053	0.85034013605442	0.340136054421768	1048.2993197278945	NA	m	m	l	m	f		f
0042272001910	http://world-en.openfoodfacts.org/product/0042272001910/3-cheese-pizza-amy-s	3 cheese pizza	amy-s	NA	NA	NA	4	c	NA	10.95	2.55	4.38	7.3	29.93	1038	1.0575	0.423	1038.06	NA	m	m	l	m	f		f
0193476002422	http://world-en.openfoodfacts.org/product/0193476002422/3-cheese-pizza	3 cheese pizza	NA	NA	NA	NA	4	c	NA	10.204081632653	4.0816326530612	2.0408163265306	9.5238095238095	29.931972789116	1053	0.85034013605442	0.340136054421768	1048.2993197278945	NA	m	m	l	m	f		f
0607880102628	http://world-en.openfoodfacts.org/product/0607880102628/3-cheese-pizza	3 cheese pizza	NA	NA	NA	NA	10	c	NA	10.884353741497	3.4013605442177	2.0408163265306	7.4829931972789	32.65306122449	1082	1.1394557823129	0.45578231292516	1085.0340136054603	NA	m	m	l	m			
